priority_rank,brand,priority_score,recommended_phase,total_rows,customer_impact_score,customer_title_risk_score,duplicate_customer_risk_score,nutrition_confidence_gap_score,readiness_status,title_issue_rows,title_issue_identities,duplicate_risk_groups,missing_calcium_phosphorus_rows,missing_ash_rows,estimated_kcal_rows,missing_kcal_rows,official_rows,retailer_rows,next_cleanup_file,next_cleanup_step,recommended_action
11,Acana,33,dedupe_before_import,4,37,8,8,8,needs_data_cleanup,0,0,1,0,0,0,0,0,4,data/review/food_v2_duplicate_merge_risk_audit.csv,"Filter duplicate audit by brand/canonical identity, choose one customer-facing survivor, then keep other rows as evidence/backfill only.","Review duplicate groups first, pick one canonical survivor per formula, then import."
12,Purina Pro Plan,33,title_cleanup,4,37,10,6,10,needs_data_cleanup,2,1,0,2,0,3,0,0,4,data/review/food_v2_title_quality_audit.csv,Filter title audit by brand and rewrite names into Brand + line + life stage/size + protein/flavor + condition.,Clean customer-facing formula names before wider chatbot exposure.
13,Orijen,30,small_batch_review,4,34,8,6,8,needs_data_cleanup,0,0,0,0,0,0,0,0,4,data/review/food_v2_brand_readiness_audit.csv,"Review a small brand batch manually for title, source, duplicate and nutrient confidence before customer exposure.","Run a small admin preview batch and manually inspect titles, source and duplicates."
14,Monge,30,nutrient_backfill,3,34,8,6,10,needs_data_cleanup,0,0,0,3,0,0,0,0,3,data/review/food_v2_nutrient_gap_priorities.csv,"Filter nutrient gaps by brand and backfill kcal, ash, calcium/phosphorus from official pages, PDFs, labels or trusted retailers.","Backfill calcium/phosphorus, ash or estimated kcal where possible before confident recommendations."
15,Amanova,26,title_cleanup,10,22,10,1,14,review_before_import,10,5,0,10,0,0,0,0,10,data/review/food_v2_title_quality_audit.csv,Filter title audit by brand and rewrite names into Brand + line + life stage/size + protein/flavor + condition.,Clean customer-facing formula names before wider chatbot exposure.
16,Calibra,25,title_cleanup,3,24,33,0,8,needs_data_cleanup,44,10,0,0,0,0,0,0,3,data/review/food_v2_title_quality_audit.csv,Filter title audit by brand and rewrite names into Brand + line + life stage/size + protein/flavor + condition.,Clean customer-facing formula names before wider chatbot exposure.
17,Reflex,23,nutrient_backfill,19,23,0,2,24,review_before_import,0,0,0,13,0,19,0,0,19,data/review/food_v2_nutrient_gap_priorities.csv,"Filter nutrient gaps by brand and backfill kcal, ash, calcium/phosphorus from official pages, PDFs, labels or trusted retailers.","Backfill calcium/phosphorus, ash or estimated kcal where possible before confident recommendations."
18,Leonardo,23,title_cleanup,10,20,8,1,13,review_before_import,8,4,0,0,0,10,0,0,10,data/review/food_v2_title_quality_audit.csv,Filter title audit by brand and rewrite names into Brand + line + life stage/size + protein/flavor + condition.,Clean customer-facing formula names before wider chatbot exposure.
19,Cennamo,20,title_cleanup,13,21,8,1,10,ready_for_controlled_import,7,5,0,2,0,2,0,0,13,data/review/food_v2_title_quality_audit.csv,Filter title audit by brand and rewrite names into Brand + line + life stage/size + protein/flavor + condition.,Clean customer-facing formula names before wider chatbot exposure.
20,Carnilove,19,title_cleanup,10,19,11,1,8,ready_for_controlled_import,12,5,0,0,0,0,0,0,10,data/review/food_v2_title_quality_audit.csv,Filter title audit by brand and rewrite names into Brand + line + life stage/size + protein/flavor + condition.,Clean customer-facing formula names before wider chatbot exposure.
21,Wolf of Wilderness,18,title_cleanup,3,19,13,0,10,needs_data_cleanup,14,6,0,1,0,3,0,0,3,data/review/food_v2_title_quality_audit.csv,Filter title audit by brand and rewrite names into Brand + line + life stage/size + protein/flavor + condition.,Clean customer-facing formula names before wider chatbot exposure.
22,Canagan,17,title_cleanup,6,15,4,0,11,review_before_import,4,2,0,0,0,6,0,0,6,data/review/food_v2_title_quality_audit.csv,Filter title audit by brand and rewrite names into Brand + line + life stage/size + protein/flavor + condition.,Clean customer-facing formula names before wider chatbot exposure.
23,JosiDog,16,nutrient_backfill,24,11,0,2,7,ready_for_controlled_import,0,0,0,12,0,0,0,24,0,data/review/food_v2_nutrient_gap_priorities.csv,"Filter nutrient gaps by brand and backfill kcal, ash, calcium/phosphorus from official pages, PDFs, labels or trusted retailers.","Backfill calcium/phosphorus, ash or estimated kcal where possible before confident recommendations."
24,Happy Cat,16,nutrient_backfill,14,16,0,1,13,review_before_import,0,0,0,1,0,10,0,0,14,data/review/food_v2_nutrient_gap_priorities.csv,"Filter nutrient gaps by brand and backfill kcal, ash, calcium/phosphorus from official pages, PDFs, labels or trusted retailers.","Backfill calcium/phosphorus, ash or estimated kcal where possible before confident recommendations."
25,Briantos,16,dedupe_before_import,2,17,9,2,8,small_batch_review,10,4,1,0,0,1,0,0,2,data/review/food_v2_duplicate_merge_risk_audit.csv,"Filter duplicate audit by brand/canonical identity, choose one customer-facing survivor, then keep other rows as evidence/backfill only.","Review duplicate groups first, pick one canonical survivor per formula, then import."
26,Naturea,15,title_cleanup,11,16,6,1,8,ready_for_controlled_import,6,3,0,0,0,0,0,0,11,data/review/food_v2_title_quality_audit.csv,Filter title audit by brand and rewrite names into Brand + line + life stage/size + protein/flavor + condition.,Clean customer-facing formula names before wider chatbot exposure.
27,Anima,15,title_cleanup,3,17,16,0,8,needs_data_cleanup,20,5,0,0,0,0,0,0,3,data/review/food_v2_title_quality_audit.csv,Filter title audit by brand and rewrite names into Brand + line + life stage/size + protein/flavor + condition.,Clean customer-facing formula names before wider chatbot exposure.
28,Taste of the Wild,14,nutrient_backfill,7,12,0,1,12,review_before_import,0,0,0,7,0,0,0,0,7,data/review/food_v2_nutrient_gap_priorities.csv,"Filter nutrient gaps by brand and backfill kcal, ash, calcium/phosphorus from official pages, PDFs, labels or trusted retailers.","Backfill calcium/phosphorus, ash or estimated kcal where possible before confident recommendations."
29,Brekkies,14,nutrient_backfill,5,12,0,0,12,review_before_import,0,0,0,4,0,5,0,0,5,data/review/food_v2_nutrient_gap_priorities.csv,"Filter nutrient gaps by brand and backfill kcal, ash, calcium/phosphorus from official pages, PDFs, labels or trusted retailers.","Backfill calcium/phosphorus, ash or estimated kcal where possible before confident recommendations."
30,Trainer,14,nutrient_backfill,5,12,0,0,13,review_before_import,0,0,0,5,0,5,0,0,5,data/review/food_v2_nutrient_gap_priorities.csv,"Filter nutrient gaps by brand and backfill kcal, ash, calcium/phosphorus from official pages, PDFs, labels or trusted retailers.","Backfill calcium/phosphorus, ash or estimated kcal where possible before confident recommendations."
31,Friskies,14,nutrient_backfill,5,12,0,0,13,review_before_import,0,0,0,5,0,5,0,0,5,data/review/food_v2_nutrient_gap_priorities.csv,"Filter nutrient gaps by brand and backfill kcal, ash, calcium/phosphorus from official pages, PDFs, labels or trusted retailers.","Backfill calcium/phosphorus, ash or estimated kcal where possible before confident recommendations."
32,Tonus Dog Chow,14,nutrient_backfill,5,12,0,0,13,review_before_import,0,0,0,5,0,5,0,0,5,data/review/food_v2_nutrient_gap_priorities.csv,"Filter nutrient gaps by brand and backfill kcal, ash, calcium/phosphorus from official pages, PDFs, labels or trusted retailers.","Backfill calcium/phosphorus, ash or estimated kcal where possible before confident recommendations."
33,Black Olympus,14,title_cleanup,1,16,17,0,8,small_batch_review,22,5,0,0,0,0,0,0,1,data/review/food_v2_title_quality_audit.csv,Filter title audit by brand and rewrite names into Brand + line + life stage/size + protein/flavor + condition.,Clean customer-facing formula names before wider chatbot exposure.
34,Equilibrio,13,nutrient_backfill,7,12,0,1,11,review_before_import,0,0,0,0,0,7,0,0,7,data/review/food_v2_nutrient_gap_priorities.csv,"Filter nutrient gaps by brand and backfill kcal, ash, calcium/phosphorus from official pages, PDFs, labels or trusted retailers.","Backfill calcium/phosphorus, ash or estimated kcal where possible before confident recommendations."
35,Kudo,13,nutrient_backfill,7,12,0,1,11,review_before_import,0,0,0,0,0,6,0,0,7,data/review/food_v2_nutrient_gap_priorities.csv,"Filter nutrient gaps by brand and backfill kcal, ash, calcium/phosphorus from official pages, PDFs, labels or trusted retailers.","Backfill calcium/phosphorus, ash or estimated kcal where possible before confident recommendations."
36,Pedigree,13,nutrient_backfill,5,12,0,0,12,review_before_import,0,0,0,3,0,5,0,0,5,data/review/food_v2_nutrient_gap_priorities.csv,"Filter nutrient gaps by brand and backfill kcal, ash, calcium/phosphorus from official pages, PDFs, labels or trusted retailers.","Backfill calcium/phosphorus, ash or estimated kcal where possible before confident recommendations."
37,Club 4 Paws,11,controlled_import_ready,18,14,0,1,8,ready_for_controlled_import,0,0,0,0,0,0,0,0,18,data/review/food_v2_brand_cleanup_queue.csv,"Run admin preview, Check Existing, import a selected controlled batch, then rerun this queue.","Use admin preview, Check Existing, then import selected rows."
38,Gemon,11,nutrient_backfill,10,13,0,1,12,ready_for_controlled_import,0,0,0,4,0,3,0,0,10,data/review/food_v2_nutrient_gap_priorities.csv,"Filter nutrient gaps by brand and backfill kcal, ash, calcium/phosphorus from official pages, PDFs, labels or trusted retailers.","Backfill calcium/phosphorus, ash or estimated kcal where possible before confident recommendations."
39,Eukanuba,11,title_cleanup,3,14,4,0,9,needs_data_cleanup,3,3,0,0,0,3,0,0,3,data/review/food_v2_title_quality_audit.csv,Filter title audit by brand and rewrite names into Brand + line + life stage/size + protein/flavor + condition.,Clean customer-facing formula names before wider chatbot exposure.
40,Ownat,10,title_cleanup,9,13,2,1,8,ready_for_controlled_import,2,1,0,0,0,0,0,0,9,data/review/food_v2_title_quality_audit.csv,Filter title audit by brand and rewrite names into Brand + line + life stage/size + protein/flavor + condition.,Clean customer-facing formula names before wider chatbot exposure.
41,Harper & Bone,9,controlled_import_ready,11,12,0,1,8,ready_for_controlled_import,0,0,0,0,0,0,0,0,11,data/review/food_v2_brand_cleanup_queue.csv,"Run admin preview, Check Existing, import a selected controlled batch, then rerun this queue.","Use admin preview, Check Existing, then import selected rows."
42,Dr. Clauder,9,title_cleanup,6,13,2,0,11,needs_data_cleanup,2,1,0,1,0,6,0,0,6,data/review/food_v2_title_quality_audit.csv,Filter title audit by brand and rewrite names into Brand + line + life stage/size + protein/flavor + condition.,Clean customer-facing formula names before wider chatbot exposure.
43,Wellness Core,9,nutrient_backfill,5,11,0,0,11,ready_for_controlled_import,0,0,0,5,0,0,0,0,5,data/review/food_v2_nutrient_gap_priorities.csv,"Filter nutrient gaps by brand and backfill kcal, ash, calcium/phosphorus from official pages, PDFs, labels or trusted retailers.","Backfill calcium/phosphorus, ash or estimated kcal where possible before confident recommendations."
44,Hi,8,controlled_import_ready,6,10,0,0,8,ready_for_controlled_import,0,0,0,0,0,0,0,0,6,data/review/food_v2_brand_cleanup_queue.csv,"Run admin preview, Check Existing, import a selected controlled batch, then rerun this queue.","Use admin preview, Check Existing, then import selected rows."
45,Pro-Nutrition (Flatazor),8,controlled_import_ready,6,10,0,0,8,ready_for_controlled_import,0,0,0,0,1,0,0,0,6,data/review/food_v2_brand_cleanup_queue.csv,"Run admin preview, Check Existing, import a selected controlled batch, then rerun this queue.","Use admin preview, Check Existing, then import selected rows."
46,BEWI,8,title_cleanup,3,12,2,0,11,needs_data_cleanup,2,1,0,3,0,3,0,0,3,data/review/food_v2_title_quality_audit.csv,Filter title audit by brand and rewrite names into Brand + line + life stage/size + protein/flavor + condition.,Clean customer-facing formula names before wider chatbot exposure.
47,Akvatera,8,title_cleanup,1,12,5,0,8,small_batch_review,6,2,0,0,0,1,0,0,1,data/review/food_v2_title_quality_audit.csv,Filter title audit by brand and rewrite names into Brand + line + life stage/size + protein/flavor + condition.,Clean customer-facing formula names before wider chatbot exposure.
48,Matisse,7,controlled_import_ready,5,10,0,0,8,ready_for_controlled_import,0,0,0,0,0,0,0,0,5,data/review/food_v2_brand_cleanup_queue.csv,"Run admin preview, Check Existing, import a selected controlled batch, then rerun this queue.","Use admin preview, Check Existing, then import selected rows."
49,Hill's Science Plan,7,title_cleanup,3,11,1,0,9,needs_data_cleanup,1,1,0,0,0,3,0,0,3,data/review/food_v2_title_quality_audit.csv,Filter title audit by brand and rewrite names into Brand + line + life stage/size + protein/flavor + condition.,Clean customer-facing formula names before wider chatbot exposure.
50,Nature,7,title_cleanup,2,11,2,0,9,small_batch_review,2,1,0,0,0,2,0,0,2,data/review/food_v2_title_quality_audit.csv,Filter title audit by brand and rewrite names into Brand + line + life stage/size + protein/flavor + condition.,Clean customer-facing formula names before wider chatbot exposure.
51,Bozita,7,title_cleanup,2,11,2,0,9,small_batch_review,2,1,0,0,0,2,0,0,2,data/review/food_v2_title_quality_audit.csv,Filter title audit by brand and rewrite names into Brand + line + life stage/size + protein/flavor + condition.,Clean customer-facing formula names before wider chatbot exposure.
52,Bedog,6,nutrient_backfill,3,10,0,0,10,needs_data_cleanup,0,0,0,1,0,3,0,0,3,data/review/food_v2_nutrient_gap_priorities.csv,"Filter nutrient gaps by brand and backfill kcal, ash, calcium/phosphorus from official pages, PDFs, labels or trusted retailers.","Backfill calcium/phosphorus, ash or estimated kcal where possible before confident recommendations."
53,Barking Heads,6,nutrient_backfill,3,10,0,0,10,needs_data_cleanup,0,0,0,2,0,3,0,0,3,data/review/food_v2_nutrient_gap_priorities.csv,"Filter nutrient gaps by brand and backfill kcal, ash, calcium/phosphorus from official pages, PDFs, labels or trusted retailers.","Backfill calcium/phosphorus, ash or estimated kcal where possible before confident recommendations."
54,Ecopet Natural,6,nutrient_backfill,3,10,0,0,10,needs_data_cleanup,0,0,0,3,0,0,0,0,3,data/review/food_v2_nutrient_gap_priorities.csv,"Filter nutrient gaps by brand and backfill kcal, ash, calcium/phosphorus from official pages, PDFs, labels or trusted retailers.","Backfill calcium/phosphorus, ash or estimated kcal where possible before confident recommendations."
55,Royal Canin Size,6,nutrient_backfill,3,11,0,0,11,needs_data_cleanup,0,0,0,3,0,3,0,0,3,data/review/food_v2_nutrient_gap_priorities.csv,"Filter nutrient gaps by brand and backfill kcal, ash, calcium/phosphorus from official pages, PDFs, labels or trusted retailers.","Backfill calcium/phosphorus, ash or estimated kcal where possible before confident recommendations."
56,Enjoy,6,nutrient_backfill,2,10,0,0,10,small_batch_review,0,0,0,2,0,2,0,0,2,data/review/food_v2_nutrient_gap_priorities.csv,"Filter nutrient gaps by brand and backfill kcal, ash, calcium/phosphorus from official pages, PDFs, labels or trusted retailers.","Backfill calcium/phosphorus, ash or estimated kcal where possible before confident recommendations."
57,Trendline,6,nutrient_backfill,2,10,0,0,10,small_batch_review,0,0,0,2,0,2,0,0,2,data/review/food_v2_nutrient_gap_priorities.csv,"Filter nutrient gaps by brand and backfill kcal, ash, calcium/phosphorus from official pages, PDFs, labels or trusted retailers.","Backfill calcium/phosphorus, ash or estimated kcal where possible before confident recommendations."
58,Burns,6,title_cleanup,1,10,1,0,8,small_batch_review,1,1,0,0,0,1,0,0,1,data/review/food_v2_title_quality_audit.csv,Filter title audit by brand and rewrite names into Brand + line + life stage/size + protein/flavor + condition.,Clean customer-facing formula names before wider chatbot exposure.
59,Optima Nova,5,nutrient_backfill,3,10,0,0,9,needs_data_cleanup,0,0,0,0,0,3,0,0,3,data/review/food_v2_nutrient_gap_priorities.csv,"Filter nutrient gaps by brand and backfill kcal, ash, calcium/phosphorus from official pages, PDFs, labels or trusted retailers.","Backfill calcium/phosphorus, ash or estimated kcal where possible before confident recommendations."
60,GranataPet,5,nutrient_backfill,3,10,0,0,9,needs_data_cleanup,0,0,0,0,0,3,0,0,3,data/review/food_v2_nutrient_gap_priorities.csv,"Filter nutrient gaps by brand and backfill kcal, ash, calcium/phosphorus from official pages, PDFs, labels or trusted retailers.","Backfill calcium/phosphorus, ash or estimated kcal where possible before confident recommendations."
61,Profine,5,small_batch_review,2,9,0,0,8,small_batch_review,0,0,0,0,0,0,0,0,2,data/review/food_v2_brand_readiness_audit.csv,"Review a small brand batch manually for title, source, duplicate and nutrient confidence before customer exposure.","Run a small admin preview batch and manually inspect titles, source and duplicates."
62,Cibau,5,small_batch_review,2,9,0,0,8,small_batch_review,0,0,0,0,0,0,0,0,2,data/review/food_v2_brand_readiness_audit.csv,"Review a small brand batch manually for title, source, duplicate and nutrient confidence before customer exposure.","Run a small admin preview batch and manually inspect titles, source and duplicates."
63,Trovet,5,small_batch_review,2,9,0,0,8,small_batch_review,0,0,0,0,0,0,0,0,2,data/review/food_v2_brand_readiness_audit.csv,"Review a small brand batch manually for title, source, duplicate and nutrient confidence before customer exposure.","Run a small admin preview batch and manually inspect titles, source and duplicates."
64,Wellfed,5,nutrient_backfill,2,9,0,0,9,small_batch_review,0,0,0,0,0,2,0,0,2,data/review/food_v2_nutrient_gap_priorities.csv,"Filter nutrient gaps by brand and backfill kcal, ash, calcium/phosphorus from official pages, PDFs, labels or trusted retailers.","Backfill calcium/phosphorus, ash or estimated kcal where possible before confident recommendations."
65,ProChoice,5,nutrient_backfill,2,9,0,0,10,small_batch_review,0,0,0,1,2,2,0,0,2,data/review/food_v2_nutrient_gap_priorities.csv,"Filter nutrient gaps by brand and backfill kcal, ash, calcium/phosphorus from official pages, PDFs, labels or trusted retailers.","Backfill calcium/phosphorus, ash or estimated kcal where possible before confident recommendations."
66,Fish4Dogs,5,nutrient_backfill,1,9,0,0,9,small_batch_review,0,0,0,1,0,1,0,0,1,data/review/food_v2_nutrient_gap_priorities.csv,"Filter nutrient gaps by brand and backfill kcal, ash, calcium/phosphorus from official pages, PDFs, labels or trusted retailers.","Backfill calcium/phosphorus, ash or estimated kcal where possible before confident recommendations."
67,Meowing Heads,5,nutrient_backfill,1,9,0,0,9,small_batch_review,0,0,0,1,0,1,0,0,1,data/review/food_v2_nutrient_gap_priorities.csv,"Filter nutrient gaps by brand and backfill kcal, ash, calcium/phosphorus from official pages, PDFs, labels or trusted retailers.","Backfill calcium/phosphorus, ash or estimated kcal where possible before confident recommendations."
68,Royal Canin Breed,5,nutrient_backfill,1,9,0,0,9,small_batch_review,0,0,0,1,0,1,0,0,1,data/review/food_v2_nutrient_gap_priorities.csv,"Filter nutrient gaps by brand and backfill kcal, ash, calcium/phosphorus from official pages, PDFs, labels or trusted retailers.","Backfill calcium/phosphorus, ash or estimated kcal where possible before confident recommendations."
69,AdPet,5,nutrient_backfill,1,9,0,0,9,small_batch_review,0,0,0,1,0,1,0,0,1,data/review/food_v2_nutrient_gap_priorities.csv,"Filter nutrient gaps by brand and backfill kcal, ash, calcium/phosphorus from official pages, PDFs, labels or trusted retailers.","Backfill calcium/phosphorus, ash or estimated kcal where possible before confident recommendations."
70,Frolic,5,nutrient_backfill,1,9,0,0,9,small_batch_review,0,0,0,1,0,1,0,0,1,data/review/food_v2_nutrient_gap_priorities.csv,"Filter nutrient gaps by brand and backfill kcal, ash, calcium/phosphorus from official pages, PDFs, labels or trusted retailers.","Backfill calcium/phosphorus, ash or estimated kcal where possible before confident recommendations."
71,Greca Cat,5,nutrient_backfill,1,9,0,0,9,small_batch_review,0,0,0,1,0,1,0,0,1,data/review/food_v2_nutrient_gap_priorities.csv,"Filter nutrient gaps by brand and backfill kcal, ash, calcium/phosphorus from official pages, PDFs, labels or trusted retailers.","Backfill calcium/phosphorus, ash or estimated kcal where possible before confident recommendations."
72,Vidok,5,nutrient_backfill,1,9,0,0,9,small_batch_review,0,0,0,1,0,1,0,0,1,data/review/food_v2_nutrient_gap_priorities.csv,"Filter nutrient gaps by brand and backfill kcal, ash, calcium/phosphorus from official pages, PDFs, labels or trusted retailers.","Backfill calcium/phosphorus, ash or estimated kcal where possible before confident recommendations."
73,Banters,4,nutrient_backfill,1,9,0,0,8,small_batch_review,0,0,0,0,0,1,0,0,1,data/review/food_v2_nutrient_gap_priorities.csv,"Filter nutrient gaps by brand and backfill kcal, ash, calcium/phosphorus from official pages, PDFs, labels or trusted retailers.","Backfill calcium/phosphorus, ash or estimated kcal where possible before confident recommendations."
74,Prince,4,nutrient_backfill,1,9,0,0,8,small_batch_review,0,0,0,0,0,1,0,0,1,data/review/food_v2_nutrient_gap_priorities.csv,"Filter nutrient gaps by brand and backfill kcal, ash, calcium/phosphorus from official pages, PDFs, labels or trusted retailers.","Backfill calcium/phosphorus, ash or estimated kcal where possible before confident recommendations."
75,Vet Expert,4,small_batch_review,1,8,0,0,8,small_batch_review,0,0,0,0,0,0,0,0,1,data/review/food_v2_brand_readiness_audit.csv,"Review a small brand batch manually for title, source, duplicate and nutrient confidence before customer exposure.","Run a small admin preview batch and manually inspect titles, source and duplicates."
76,Belcando Mastercraft,4,nutrient_backfill,1,9,0,0,8,small_batch_review,0,0,0,0,0,1,0,0,1,data/review/food_v2_nutrient_gap_priorities.csv,"Filter nutrient gaps by brand and backfill kcal, ash, calcium/phosphorus from official pages, PDFs, labels or trusted retailers.","Backfill calcium/phosphorus, ash or estimated kcal where possible before confident recommendations."
77,Cat Vital,4,small_batch_review,1,8,0,0,8,small_batch_review,0,0,0,0,0,0,0,0,1,data/review/food_v2_brand_readiness_audit.csv,"Review a small brand batch manually for title, source, duplicate and nutrient confidence before customer exposure.","Run a small admin preview batch and manually inspect titles, source and duplicates."
78,Markus Mühle,4,nutrient_backfill,1,9,0,0,8,needs_data_cleanup,0,0,0,0,0,1,0,0,1,data/review/food_v2_nutrient_gap_priorities.csv,"Filter nutrient gaps by brand and backfill kcal, ash, calcium/phosphorus from official pages, PDFs, labels or trusted retailers.","Backfill calcium/phosphorus, ash or estimated kcal where possible before confident recommendations."
79,Meradog,4,nutrient_backfill,1,9,0,0,8,small_batch_review,0,0,0,0,0,1,0,0,1,data/review/food_v2_nutrient_gap_priorities.csv,"Filter nutrient gaps by brand and backfill kcal, ash, calcium/phosphorus from official pages, PDFs, labels or trusted retailers.","Backfill calcium/phosphorus, ash or estimated kcal where possible before confident recommendations."
80,Whiskas,4,nutrient_backfill,1,9,0,0,8,small_batch_review,0,0,0,0,0,1,0,0,1,data/review/food_v2_nutrient_gap_priorities.csv,"Filter nutrient gaps by brand and backfill kcal, ash, calcium/phosphorus from official pages, PDFs, labels or trusted retailers.","Backfill calcium/phosphorus, ash or estimated kcal where possible before confident recommendations."
