recommendation_status,risk_level,brand,display_name,species,format,life_stage,data_quality_status,source_priority,formula_key,gap_priority,gap_score,missing_blockers,estimated_fields_to_replace,health_context,recommendation_reason,required_before_enable
do_not_enable,high,Josera,Josera Leger Light Adult/Senior 10kg,cat,dry,senior,needs_review,retailer,josera-leger-light-adult-senior-cat-dry-gr-gatoskilo,high,118,calcium_percent,kcal_per_100g|moisture_percent,weight_control|senior,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Josera,Josera Light & Vital Adult 12.5kg,dog,dry,adult,needs_review,retailer,josera-light-and-vital-adult-dog-dry-gr-gatoskilo,high,82,calcium_percent,kcal_per_100g|moisture_percent,weight_control,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Josera,Josera LOOPIES WITH BEEF,dog,dry,senior,needs_review,official,josera-loopies-with-beef-dog-dry-eu-official,high,146,calcium_percent|phosphorus_percent,,senior,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Josera,Josera LOOPIES WITH LAMB,dog,dry,senior,needs_review,official,josera-loopies-with-lamb-dog-dry-eu-official,high,146,calcium_percent|phosphorus_percent,,senior,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Josera,Josera LOOPIES WITH POULTRY,dog,dry,senior,needs_review,official,josera-loopies-with-poultry-dog-dry-eu-official,high,146,calcium_percent|phosphorus_percent,,senior,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Josera,Josera Marinesse Hypoallergenic Adult 2kg,cat,dry,adult,needs_review,retailer,josera-marinesse-hypoallergenic-adult-cat-dry-gr-gatoskilo,high,74,calcium_percent,kcal_per_100g|moisture_percent,,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Josera,Josera MEAT HEARTS TURKEY,dog,dry,senior,needs_review,official,josera-meat-hearts-turkey-dog-dry-eu-official,high,146,calcium_percent|phosphorus_percent,,senior,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Josera,Josera Medium/Maxi Sensi Junior 12.5kg,dog,dry,puppy,needs_review,retailer,josera-medium-maxi-sensi-junior-dog-dry-gr-gatoskilo,high,118,calcium_percent,kcal_per_100g|moisture_percent,puppy,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Josera,Josera Senior 2kg,cat,dry,senior,needs_review,retailer,josera-senior-cat-dry-gr-gatoskilo,high,118,calcium_percent,kcal_per_100g|moisture_percent,senior,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Josera,Josera Senior Balance 12.5kg,dog,dry,senior,needs_review,retailer,josera-senior-balance-dog-dry-gr-gatoskilo,high,118,calcium_percent,kcal_per_100g|moisture_percent,senior,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Orijen,Orijen Cat & Kitten Fit & Trim 1.8kg,cat,dry,kitten,needs_review,retailer,orijen-cat-and-kitten-fit-and-trim-cat-dry-gr-gatoskilo,high,74,phosphorus_percent,,kitten,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Orijen,Orijen Regional Red 1.8kg,cat,dry,kitten,needs_review,retailer,orijen-regional-red-cat-dry-gr-gatoskilo,high,86,phosphorus_percent,,renal|kitten,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Purina Pro Plan,Purina Pro Plan Renal Plus Sterilised Σολομός 10kg,cat,dry,,needs_review,retailer,purina-pro-plan-renal-plus-sterilised-σολομοσ-cat-dry-gr-gatoskilo,high,168,calcium_percent|phosphorus_percent,kcal_per_100g|moisture_percent,renal,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Purina Pro Plan,Purina Pro Plan Veterinary Diets Cat HA Hypoallergenic 1.3kg,cat,dry,,needs_review,retailer,purina-pro-plan-veterinary-diets-cat-ha-hypoallergenic-cat-dry-gr-gatoskilo,high,84,calcium_percent|phosphorus_percent,,,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Purina Pro Plan,Purina Pro Plan Veterinary Diets Cat HP Hepatic 1.5kg,cat,dry,,needs_review,retailer,purina-pro-plan-veterinary-diets-cat-hp-hepatic-cat-dry-gr-gatoskilo,high,96,calcium_percent|phosphorus_percent,kcal_per_100g|moisture_percent,,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Purina Pro Plan,Purina Pro Plan Veterinary Diets Cat OM Obesity Management 1.5kg,cat,dry,,needs_review,retailer,purina-pro-plan-veterinary-diets-cat-om-obesity-management-cat-dry-gr-gatoskilo,high,92,calcium_percent|phosphorus_percent,,obesity,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Purina Pro Plan,Purina Pro Plan Veterinary Diets Small & Mini Dog OM Obesity Management 1.3kg,dog,dry,,needs_review,retailer,purina-pro-plan-veterinary-diets-small-and-mini-dog-om-obesity-management-dog-dry-gr-gatoskilo,high,84,calcium_percent|phosphorus_percent,,obesity,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Purina Pro Plan,Purina Pro Plan Veterinary Diets Small Dog EN Gastrointestinal 1.5kg,dog,dry,adult,needs_review,retailer,purina-pro-plan-veterinary-diets-small-dog-en-gastrointestinal-dog-dry-gr-gatoskilo,high,96,calcium_percent|phosphorus_percent,kcal_per_100g|moisture_percent,,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Purina Pro Plan Veterinary Diets,Purina Pro Plan Veterinary Diets Canine HA Hypoallergenic,dog,dry,adult,needs_review,retailer,purina-pro-plan-veterinary-diets-canine-ha-hypoallergenic-dog-dry-eu-retailer,high,100,calcium_percent|phosphorus_percent,kcal_per_100g,allergy,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Reflex,Reflex Plus Breed Pomeranian Adult Hypoallergenic 2kg,dog,dry,adult,needs_review,retailer,reflex-plus-breed-pomeranian-adult-hypoallergenic-dog-dry-gr-gatoskilo,high,88,calcium_percent|phosphorus_percent,kcal_per_100g,,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Reflex,Reflex Plus Breed Pomeranian Puppy Hypoallergenic 1.5kg,dog,dry,puppy,needs_review,retailer,reflex-plus-breed-pomeranian-puppy-hypoallergenic-dog-dry-gr-gatoskilo,high,144,calcium_percent|phosphorus_percent,kcal_per_100g,puppy,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Reflex,Reflex Plus Breed Poodle Adult Hypoallergenic 2kg,dog,dry,adult,needs_review,retailer,reflex-plus-breed-poodle-adult-hypoallergenic-dog-dry-gr-gatoskilo,high,88,calcium_percent|phosphorus_percent,kcal_per_100g,,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Reflex,Reflex Plus Breed Poodle Puppy Hypoallergenic 1.5kg,dog,dry,puppy,needs_review,retailer,reflex-plus-breed-poodle-puppy-hypoallergenic-dog-dry-gr-gatoskilo,high,144,calcium_percent|phosphorus_percent,kcal_per_100g,puppy,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Reflex,Reflex Plus Breed Yorkshire Terrier Adult Hypoallergenic 2kg,dog,dry,adult,needs_review,retailer,reflex-plus-breed-yorkshire-terrier-adult-hypoallergenic-dog-dry-gr-gatoskilo,high,88,calcium_percent|phosphorus_percent,kcal_per_100g,,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Reflex,Reflex Plus Kitten Chicken 1.5kg,cat,dry,kitten,needs_review,retailer,reflex-plus-kitten-chicken-cat-dry-gr-gatoskilo,high,156,calcium_percent|phosphorus_percent,kcal_per_100g|moisture_percent,kitten,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Reflex,Reflex Plus Medium / Large Junior Lamb 12kg,dog,dry,puppy,needs_review,retailer,reflex-plus-medium-large-junior-lamb-dog-dry-gr-gatoskilo,high,156,calcium_percent|phosphorus_percent,kcal_per_100g|moisture_percent,puppy,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Royal Canin,Royal Canin Ageing 11+ 400gr,cat,dry,kitten,needs_review,retailer,royal-canin-ageing-11-cat-dry-gr-gatoskilo,high,94,calcium_percent,,kitten,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Royal Canin,Royal Canin Ageing 15+ 400gr,cat,dry,kitten,needs_review,retailer,royal-canin-ageing-15-cat-dry-gr-gatoskilo,high,94,calcium_percent,,kitten,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Royal Canin,Royal Canin Baby Cat 400gr,cat,dry,kitten,needs_review,retailer,royal-canin-baby-cat-cat-dry-gr-gatoskilo,high,156,calcium_percent|phosphorus_percent,kcal_per_100g|moisture_percent,kitten,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Royal Canin,Royal Canin Beagle Adult,dog,dry,senior,needs_review,official,royal-canin-beagle-adult-dog-dry-gr-official,high,150,calcium_percent|phosphorus_percent,,senior,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Royal Canin,Royal Canin Bichon Frise Adult,dog,dry,senior,needs_review,official,royal-canin-bichon-frise-adult-dog-dry-gr-official,high,150,calcium_percent|phosphorus_percent,,senior,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Royal Canin,Royal Canin Boxer Adult,dog,dry,senior,needs_review,official,royal-canin-boxer-adult-dog-dry-gr-official,high,146,calcium_percent|phosphorus_percent,,senior,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Royal Canin,Royal Canin Boxer Puppy,dog,dry,puppy,needs_review,official,royal-canin-boxer-puppy-dog-dry-gr-official,high,138,calcium_percent|phosphorus_percent,,puppy,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Royal Canin,Royal Canin Bulldog Adult,dog,dry,senior,needs_review,official,royal-canin-bulldog-adult-dog-dry-gr-official,high,146,calcium_percent|phosphorus_percent,,senior,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Royal Canin,Royal Canin Bulldog Puppy,dog,dry,puppy,needs_review,official,royal-canin-bulldog-puppy-dog-dry-gr-official,high,134,calcium_percent|phosphorus_percent,,puppy,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Royal Canin,Royal Canin Cavalier King Charles Adult,dog,dry,senior,needs_review,official,royal-canin-cavalier-king-charles-adult-dog-dry-gr-official,high,146,calcium_percent|phosphorus_percent,,senior,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Royal Canin,Royal Canin Cavalier King Charles Puppy,dog,dry,puppy,needs_review,official,royal-canin-cavalier-king-charles-puppy-dog-dry-gr-official,high,138,calcium_percent|phosphorus_percent,,puppy,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Royal Canin,Royal Canin Chihuahua Puppy,dog,dry,puppy,needs_review,official,royal-canin-chihuahua-puppy-dog-dry-gr-official,high,138,calcium_percent|phosphorus_percent,,puppy,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Royal Canin,Royal Canin Cocker Adult,dog,dry,senior,needs_review,official,royal-canin-cocker-adult-dog-dry-gr-official,high,150,calcium_percent|phosphorus_percent,,senior,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Royal Canin,Royal Canin Cocker Junior 3kg,dog,dry,puppy,needs_review,retailer,royal-canin-cocker-junior-dog-dry-gr-gatoskilo,high,156,calcium_percent|phosphorus_percent,kcal_per_100g|moisture_percent,puppy,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Royal Canin,Royal Canin Cocker Puppy,dog,dry,puppy,needs_review,official,royal-canin-cocker-puppy-dog-dry-gr-official,high,134,calcium_percent|phosphorus_percent,,puppy,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Royal Canin,Royal Canin Dalmatian Adult,dog,dry,senior,needs_review,official,royal-canin-dalmatian-adult-dog-dry-gr-official,high,146,calcium_percent|phosphorus_percent,,senior,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Royal Canin,Royal Canin Dental Care 400g,cat,dry,kitten,needs_review,retailer,royal-canin-dental-care-cat-dry-gr-gatoskilo,high,156,calcium_percent|phosphorus_percent,kcal_per_100g|moisture_percent,kitten,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Royal Canin,Royal Canin Digestive Care 400gr,cat,dry,kitten,needs_review,retailer,royal-canin-digestive-care-cat-dry-gr-gatoskilo,high,156,calcium_percent|phosphorus_percent,kcal_per_100g|moisture_percent,kitten,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Royal Canin,Royal Canin Fit 32 10kg,cat,dry,kitten,needs_review,retailer,royal-canin-fit-32-cat-dry-gr-gatoskilo,high,156,calcium_percent|phosphorus_percent,kcal_per_100g|moisture_percent,kitten,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Royal Canin,Royal Canin French Bulldog Adult,dog,dry,senior,needs_review,official,royal-canin-french-bulldog-adult-dog-dry-gr-official,high,146,calcium_percent|phosphorus_percent,,senior,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Royal Canin,Royal Canin French Bulldog Puppy,dog,dry,puppy,needs_review,official,royal-canin-french-bulldog-puppy-dog-dry-gr-official,high,138,calcium_percent|phosphorus_percent,,puppy,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Royal Canin,Royal Canin German Shepherd Adult 11kg,dog,dry,adult,needs_review,retailer,royal-canin-german-shepherd-adult-dog-dry-gr-gatoskilo,high,66,phosphorus_percent,kcal_per_100g,,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Royal Canin,Royal Canin German Shepherd Puppy,dog,dry,puppy,needs_review,official,royal-canin-german-shepherd-puppy-dog-dry-gr-official,high,134,calcium_percent|phosphorus_percent,,puppy,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Royal Canin,Royal Canin Golden Retriever Adult,dog,dry,senior,needs_review,official,royal-canin-golden-retriever-adult-dog-dry-gr-official,high,150,calcium_percent|phosphorus_percent,,senior,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Royal Canin,Royal Canin Golden Retriever Junior 12kg,dog,dry,puppy,needs_review,retailer,royal-canin-golden-retriever-junior-dog-dry-gr-gatoskilo,high,140,calcium_percent|phosphorus_percent,kcal_per_100g|moisture_percent,puppy,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Royal Canin,Royal Canin Golden Retriever Puppy,dog,dry,puppy,needs_review,official,royal-canin-golden-retriever-puppy-dog-dry-gr-official,high,134,calcium_percent|phosphorus_percent,,puppy,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Royal Canin,Royal Canin Hair & Skin Care 400g,cat,dry,kitten,needs_review,retailer,royal-canin-hair-and-skin-care-cat-dry-gr-gatoskilo,high,156,calcium_percent|phosphorus_percent,kcal_per_100g|moisture_percent,kitten,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Royal Canin,Royal Canin Hairball Care 400g,cat,dry,kitten,needs_review,retailer,royal-canin-hairball-care-cat-dry-gr-gatoskilo,high,156,calcium_percent|phosphorus_percent,kcal_per_100g|moisture_percent,kitten,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Royal Canin,Royal Canin Indoor 27 400g,cat,dry,kitten,needs_review,retailer,royal-canin-indoor-27-cat-dry-gr-gatoskilo,high,156,calcium_percent|phosphorus_percent,kcal_per_100g|moisture_percent,kitten,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Royal Canin,Royal Canin Jack Russell Adult,dog,dry,senior,needs_review,official,royal-canin-jack-russell-adult-dog-dry-gr-official,high,150,calcium_percent|phosphorus_percent,,senior,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Royal Canin,Royal Canin Jack Russell Terrier Adult 3kg,dog,dry,adult,needs_review,retailer,royal-canin-jack-russell-terrier-adult-dog-dry-gr-gatoskilo,high,92,calcium_percent|phosphorus_percent,kcal_per_100g|moisture_percent,,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Royal Canin,Royal Canin Jack Russell Terrier Puppy,dog,dry,puppy,needs_review,official,royal-canin-jack-russell-terrier-puppy-dog-dry-gr-official,high,134,calcium_percent|phosphorus_percent,,puppy,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Royal Canin,Royal Canin JUNIOR - GIANT,dog,dry,puppy,needs_review,official,royal-canin-junior-giant-dog-dry-gr-official,high,138,calcium_percent|phosphorus_percent,,puppy,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Royal Canin,Royal Canin Kitten 400gr,cat,dry,kitten,needs_review,retailer,royal-canin-kitten-cat-dry-gr-gatoskilo,high,156,calcium_percent|phosphorus_percent,kcal_per_100g|moisture_percent,kitten,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Royal Canin,Royal Canin Labrador Adult 12kg,dog,dry,adult,needs_review,retailer,royal-canin-labrador-adult-dog-dry-gr-gatoskilo,high,96,calcium_percent|phosphorus_percent,kcal_per_100g|moisture_percent,,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Royal Canin,Royal Canin Labrador Retriever Puppy,dog,dry,puppy,needs_review,official,royal-canin-labrador-retriever-puppy-dog-dry-gr-official,high,134,calcium_percent|phosphorus_percent,,puppy,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Royal Canin,Royal Canin Labrador Retriever Sterilised,dog,dry,senior,needs_review,official,royal-canin-labrador-retriever-sterilised-dog-dry-gr-official,high,150,calcium_percent|phosphorus_percent,,senior,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Royal Canin,Royal Canin Labrador Sterilised Adult 12kg,dog,dry,adult,needs_review,retailer,royal-canin-labrador-sterilised-adult-dog-dry-gr-gatoskilo,high,96,calcium_percent|phosphorus_percent,kcal_per_100g|moisture_percent,,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Royal Canin,Royal Canin Light Weight Care 400g,cat,dry,kitten,needs_review,retailer,royal-canin-light-weight-care-cat-dry-gr-gatoskilo,high,156,calcium_percent|phosphorus_percent,kcal_per_100g|moisture_percent,weight_control|kitten,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Royal Canin,Royal Canin Maltese Adult,dog,dry,senior,needs_review,official,royal-canin-maltese-adult-dog-dry-gr-official,high,150,calcium_percent|phosphorus_percent,,senior,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Royal Canin,Royal Canin Maxi Ageing 8+ 15kg,dog,dry,senior,needs_review,retailer,royal-canin-maxi-ageing-8-dog-dry-gr-gatoskilo,high,152,calcium_percent|phosphorus_percent,kcal_per_100g|moisture_percent,senior,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
do_not_enable,high,Royal Canin,Royal Canin Maxi Dermacomfort,dog,dry,senior,needs_review,official,royal-canin-maxi-dermacomfort-dog-dry-gr-official,high,150,calcium_percent|phosphorus_percent,,senior,"Medical, senior, puppy, kitten or weight-context food is missing blocker nutrients.","Backfill blocker nutrients from official source, PDF or clear label photo."
