formula_key,brand,formula_name,species,format,source_url,source_group,source_priority,match_score,still_missing,recommended_next_step
dog-dog-dog-dog-puppy-all-breed-με-κοτοπουλο-dog-dry-gr-ods,Dog & Dog,Dog & Dog Puppy All Breed με Κοτόπουλο,dog,dry,https://kompa.gr/en/product/puppy-small-breed/,kompa distributor,retailer,0.50,kcal_per_100g_or_kcal_per_kg,Use attached retailer/official source to backfill calories before import.
schesir-schesir-puppy-large-με-κοτοπουλο-dog-dry-gr-ods,Schesir,Schesir Puppy Large με Κοτόπουλο,dog,dry,https://www.aigan.gr/product/schesir-dog-dry-medium-puppy-chicken-12kg,aigan retailer,retailer,0.60,,Preview in admin; retailer/official source is attached for needs_review QA.
schesir-schesir-adult-medium-με-κοτοπουλο-dog-dry-gr-ods,Schesir,Schesir Adult Medium με Κοτόπουλο,dog,dry,https://www.aigan.gr/product/schesir-dog-dry-medium-maintenance-chicken-12kg,aigan retailer,retailer,0.68,,Preview in admin; retailer/official source is attached for needs_review QA.
schesir-schesir-adult-medium-με-ψαρι-dog-dry-gr-ods,Schesir,Schesir Adult Medium με Ψάρι,dog,dry,https://www.aigan.gr/product/schesir-dog-dry-medium-maintenance-chicken-12kg,aigan retailer,retailer,0.68,,Preview in admin; retailer/official source is attached for needs_review QA.
schesir-schesir-adult-medium-με-χοιρινο-προσουτο-dog-dry-gr-ods,Schesir,Schesir Adult Medium με Χοιρινό Προσούτο,dog,dry,https://www.aigan.gr/product/schesir-dog-dry-medium-maintenance-chicken-12kg,aigan retailer,retailer,0.68,,Preview in admin; retailer/official source is attached for needs_review QA.
schesir-schesir-mature-medium-με-κοτοπουλο-dog-dry-gr-ods,Schesir,Schesir Mature Medium με Κοτόπουλο,dog,dry,https://www.aigan.gr/product/schesir-dog-dry-medium-maintenance-chicken-12kg,aigan retailer,retailer,0.68,,Preview in admin; retailer/official source is attached for needs_review QA.
schesir-schesir-puppy-medium-με-κοτοπουλο-dog-dry-gr-ods,Schesir,Schesir Puppy Medium με Κοτόπουλο,dog,dry,https://www.aigan.gr/product/schesir-dog-dry-medium-puppy-chicken-12kg,aigan retailer,retailer,0.88,,Preview in admin; retailer/official source is attached for needs_review QA.
schesir-schesir-adult-small-με-κοτοπουλο-ρυζι-dog-dry-gr-ods,Schesir,Schesir Adult Small με Κοτόπουλο & Ρύζι,dog,dry,https://www.aigan.gr/product/schesir-small-dog-maintenance-chickenrice-2kg,aigan retailer,retailer,0.50,,Preview in admin; retailer/official source is attached for needs_review QA.
schesir-schesir-adult-small-με-ψαρι-ρυζι-dog-dry-gr-ods,Schesir,Schesir Adult Small με Ψάρι & Ρύζι,dog,dry,https://www.aigan.gr/product/schesir-small-dog-maintenance-chickenrice-2kg,aigan retailer,retailer,0.50,,Preview in admin; retailer/official source is attached for needs_review QA.
schesir-schesir-adult-small-με-χοιρινο-προσουτο-dog-dry-gr-ods,Schesir,Schesir Adult Small με Χοιρινό Προσούτο,dog,dry,https://www.aigan.gr/product/schesir-small-dog-maintenance-chickenrice-2kg,aigan retailer,retailer,0.50,,Preview in admin; retailer/official source is attached for needs_review QA.
schesir-schesir-kitten-φιλετακια-σε-ζελε-με-κοτοπουλο-αλοη-cat-wet-gr-ods,Schesir,Schesir Kitten Φιλετάκια σε Ζελέ με Κοτόπουλο & Αλόη,cat,wet,https://www.schesir.com/en/products/kitten-chicken-1-5kg,schesir official,official,0.41,kcal_per_100g_or_kcal_per_kg,Use attached retailer/official source to backfill calories before import.
acana-acana-puppy-large-breed-dog-dry-gr-spreadsheet,Acana,Acana Puppy Large breed,dog,dry,https://kompa.gr/en/product/acana-puppy-large-breed/,kompa distributor,retailer,1.00,kcal_per_100g_or_kcal_per_kg,Use attached retailer/official source to backfill calories before import.
acana-acana-adult-classic-red-dog-dry-gr-spreadsheet,Acana,Acana Adult Classic Red,dog,dry,https://kompa.gr/en/product/acana-classic-red-classics/,kompa distributor,retailer,0.67,kcal_per_100g_or_kcal_per_kg,Use attached retailer/official source to backfill calories before import.
orijen-orijen-puppy-large-dog-dry-gr-spreadsheet,Orijen,Orijen Puppy Large,dog,dry,https://kompa.gr/en/product/orijen-puppy-large/,kompa distributor,retailer,1.00,kcal_per_100g_or_kcal_per_kg,Use attached retailer/official source to backfill calories before import.
acana-acana-adult-small-breed-dog-dry-gr-spreadsheet,Acana,Acana Adult Small breed,dog,dry,https://kompa.gr/en/product/acana-adult-small-breed/,kompa distributor,retailer,1.00,kcal_per_100g_or_kcal_per_kg,Use attached retailer/official source to backfill calories before import.
orijen-orijen-senior-dog-dog-dry-gr-spreadsheet,Orijen,Orijen Senior Dog,dog,dry,https://kompa.gr/en/product/orijen-senior/,kompa distributor,retailer,1.08,kcal_per_100g_or_kcal_per_kg,Use attached retailer/official source to backfill calories before import.
acana-acana-adult-wild-coast-dog-dry-gr-spreadsheet,Acana,Acana Adult Wild Coast,dog,dry,https://kompa.gr/en/product/acana-wild-coast-classics/,kompa distributor,retailer,1.00,kcal_per_100g_or_kcal_per_kg,Use attached retailer/official source to backfill calories before import.
orijen-orijen-adult-6-fish-dog-dry-gr-spreadsheet,Orijen,Orijen Adult 6 Fish,dog,dry,https://kompa.gr/en/product/orijen-six-fish/,kompa distributor,retailer,0.67,kcal_per_100g_or_kcal_per_kg,Use attached retailer/official source to backfill calories before import.
acana-acana-adult-pacifica-dog-dry-gr-spreadsheet,Acana,Acana Adult Pacifica,dog,dry,https://kompa.gr/en/product/acana-pacifica-regionals/,kompa distributor,retailer,1.08,kcal_per_100g_or_kcal_per_kg,Use attached retailer/official source to backfill calories before import.
acana-acana-adult-large-breed-dog-dry-gr-spreadsheet,Acana,Acana Adult Large breed,dog,dry,https://kompa.gr/en/product/acana-adult-large-breed/,kompa distributor,retailer,1.00,kcal_per_100g_or_kcal_per_kg,Use attached retailer/official source to backfill calories before import.
acana-acana-senior-dog-dog-dry-gr-spreadsheet,Acana,Acana Senior Dog,dog,dry,https://kompa.gr/en/product/acana-senior/,kompa distributor,retailer,1.08,kcal_per_100g_or_kcal_per_kg,Use attached retailer/official source to backfill calories before import.
hill-s-hill-s-sp-puppy-small-mini-chicken-dog-dry-gr-spreadsheet,Hill's,Hill's SP Puppy Small & Mini με Κοτόπουλο,dog,dry,https://kompa.gr/en/product/puppy-small-breed/,kompa distributor,retailer,0.40,kcal_per_100g_or_kcal_per_kg,Use attached retailer/official source to backfill calories before import.
orijen-orijen-adult-regional-red-dog-dry-gr-spreadsheet,Orijen,Orijen Adult Regional Red,dog,dry,https://kompa.gr/en/product/orijen-regional-red/,kompa distributor,retailer,1.08,kcal_per_100g_or_kcal_per_kg,Use attached retailer/official source to backfill calories before import.
orijen-orijen-adult-original-dog-dog-dry-gr-spreadsheet,Orijen,Orijen Adult Original Dog,dog,dry,https://kompa.gr/en/product/orijen-original/,kompa distributor,retailer,1.08,kcal_per_100g_or_kcal_per_kg,Use attached retailer/official source to backfill calories before import.
acana-acana-adult-light-fit-dog-dry-gr-spreadsheet,ACANA,Acana Adult Light & Fit,dog,dry,https://kompa.gr/en/product/acana-light-fit/,kompa distributor,retailer,1.00,kcal_per_100g_or_kcal_per_kg,Use attached retailer/official source to backfill calories before import.
acana-acana-adult-prairie-poultry-dog-dry-gr-spreadsheet,ACANA,Acana Adult Prairie Poultry,dog,dry,https://kompa.gr/en/product/acana-prairie-poultry-classics/,kompa distributor,retailer,1.08,kcal_per_100g_or_kcal_per_kg,Use attached retailer/official source to backfill calories before import.
acana-acana-puppy-junior-dog-dry-gr-spreadsheet,ACANA,Acana Puppy & Junior,dog,dry,https://kompa.gr/en/product/acana-heritage-puppy-junior/,kompa distributor,retailer,0.67,kcal_per_100g_or_kcal_per_kg,Use attached retailer/official source to backfill calories before import.
hill-s-hill-s-sp-puppy-small-mini-με-κοτοπουλο-dog-dry-gr-spreadsheet,Hill's,Hill's SP Puppy Small & Mini με Κοτόπουλο,dog,dry,https://kompa.gr/en/product/puppy-small-breed/,kompa distributor,retailer,0.40,kcal_per_100g_or_kcal_per_kg,Use attached retailer/official source to backfill calories before import.
acana-acana-adult-grasslands-dog-dry-gr-spreadsheet,ACANA,Acana Adult Grasslands,dog,dry,https://kompa.gr/en/product/acana-grasslands-regionals/,kompa distributor,retailer,1.08,kcal_per_100g_or_kcal_per_kg,Use attached retailer/official source to backfill calories before import.
acana-acana-adult-wild-prairie-dog-dry-gr-spreadsheet,ACANA,Acana Adult Wild Prairie,dog,dry,https://kompa.gr/en/product/acana-wild-prairie-classics/,kompa distributor,retailer,1.08,kcal_per_100g_or_kcal_per_kg,Use attached retailer/official source to backfill calories before import.
acana-acana-puppy-small-breed-dog-dry-gr-spreadsheet,ACANA,Acana Puppy Small breed,dog,dry,https://kompa.gr/en/product/acana-puppy-small-breed/,kompa distributor,retailer,1.00,kcal_per_100g_or_kcal_per_kg,Use attached retailer/official source to backfill calories before import.
gemon-gemon-kitten-με-κοτοπουλο-cat-dry-gr-spreadsheet,Gemon,Gemon Kitten με Κοτόπουλο,cat,dry,https://kompa.gr/en/product/kitten/,kompa distributor,retailer,0.41,kcal_per_100g_or_kcal_per_kg,Use attached retailer/official source to backfill calories before import.
orijen-orijen-six-fish-adult-cat-kitten-cat-dry-gr-spreadsheet,ORIJEN,Orijen Six Fish Adult Cat & Kitten,cat,dry,https://kompa.gr/en/product/orijen-six-fish-cat-kitten/,kompa distributor,retailer,0.75,kcal_per_100g_or_kcal_per_kg,Use attached retailer/official source to backfill calories before import.
orijen-orijen-regional-red-adult-cat-kitten-cat-dry-gr-spreadsheet,ORIJEN,Orijen Regional Red Adult Cat & Kitten,cat,dry,https://kompa.gr/en/product/orijen-regional-red-cat-kitten/,kompa distributor,retailer,0.83,kcal_per_100g_or_kcal_per_kg,Use attached retailer/official source to backfill calories before import.
orijen-orijen-adult-cat-kitten-cat-dry-gr-spreadsheet,ORIJEN,Orijen Adult Cat & Kitten,cat,dry,https://kompa.gr/en/product/kitten/,kompa distributor,retailer,0.58,kcal_per_100g_or_kcal_per_kg,Use attached retailer/official source to backfill calories before import.
leonardo-leonardo-kitten-με-κοτοπουλο-cat-dry-gr-spreadsheet,Leonardo,Leonardo Kitten με Κοτόπουλο,cat,dry,https://kompa.gr/en/product/kitten/,kompa distributor,retailer,0.41,kcal_per_100g_or_kcal_per_kg,Use attached retailer/official source to backfill calories before import.
hill-s-hill-s-sp-kitten-με-κοτοπουλο-cat-dry-gr-spreadsheet,Hill's,Hill's SP Kitten με Κοτόπουλο,cat,dry,https://kompa.gr/en/product/kitten/,kompa distributor,retailer,0.41,kcal_per_100g_or_kcal_per_kg,Use attached retailer/official source to backfill calories before import.
prochoice-prochoice-kitten-με-αρνι-cat-dry-gr-spreadsheet,Prochoice,Prochoice Kitten με Αρνί,cat,dry,https://kompa.gr/en/product/kitten/,kompa distributor,retailer,0.41,kcal_per_100g_or_kcal_per_kg,Use attached retailer/official source to backfill calories before import.
orijen-acana-tundra-adult-cat-kitten-cat-dry-gr-spreadsheet,ORIJEN,Acana Tundra Adult Cat & Kitten,cat,dry,https://kompa.gr/en/product/orijen-tundra/,kompa distributor,retailer,0.58,kcal_per_100g_or_kcal_per_kg,Use attached retailer/official source to backfill calories before import.
acana-acana-pacifica-adult-cat-kitten-cat-dry-gr-spreadsheet,ACANA,Acana Pacifica Adult Cat & Kitten,cat,dry,https://kompa.gr/en/product/kitten/,kompa distributor,retailer,0.41,kcal_per_100g_or_kcal_per_kg,Use attached retailer/official source to backfill calories before import.
acana-acana-grasslands-adult-cat-kitten-cat-dry-gr-spreadsheet,ACANA,Acana Grasslands Adult Cat & Kitten,cat,dry,https://kompa.gr/en/product/kitten/,kompa distributor,retailer,0.41,kcal_per_100g_or_kcal_per_kg,Use attached retailer/official source to backfill calories before import.
