formula_key,brand,formula_name,species,format,status,source_file,extracted_fields,missing_fields,recommended_action,notes
gemon-kitten-with-beef-and-rice-cat-dry-eu-pdf,Gemon,Kitten with Beef and Rice,cat,dry,importable_after_qa,C:/Users/NIOstb/Desktop/photo_foods_nutritail/monge cat pdf/Gemon-kitten-with-beef-and-rice-ENG.pdf,brand|formula_name|display_name|species|format|life_stage|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|omega3_percent|omega6_percent|taurine_mgkg|vitamin_a_iukg|vitamin_d3_iukg|vitamin_e_mgkg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,,"Preview in Food V2, run Check Existing, then commit only reviewed rows.",market=EU; basis=as-fed; source_tier=official_pdf; source_group=monge_cat_pdf; label_energy_used=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/monge cat pdf/Gemon-kitten-with-beef-and-rice-ENG.pdf; human_qa_required_before_recommendation=true
gemon-kitten-with-chicken-and-rice-cat-dry-eu-pdf,Gemon,Kitten with Chicken and Rice,cat,dry,importable_after_qa,C:/Users/NIOstb/Desktop/photo_foods_nutritail/monge cat pdf/Gemon-kitten-with-chicken-and-rice-ENG.pdf,brand|formula_name|display_name|species|format|life_stage|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|omega3_percent|omega6_percent|taurine_mgkg|vitamin_a_iukg|vitamin_d3_iukg|vitamin_e_mgkg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,,"Preview in Food V2, run Check Existing, then commit only reviewed rows.",market=EU; basis=as-fed; source_tier=official_pdf; source_group=monge_cat_pdf; label_energy_missing=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/monge cat pdf/Gemon-kitten-with-chicken-and-rice-ENG.pdf; human_qa_required_before_recommendation=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=30; default_moisture_percent=10; kcal_estimation_confidence=medium
gemon-kitten-with-salmon-and-rice-cat-dry-eu-pdf,Gemon,Kitten with Salmon and Rice,cat,dry,importable_after_qa,C:/Users/NIOstb/Desktop/photo_foods_nutritail/monge cat pdf/Gemon-kitten-with-salmon-and-rice-ENG.pdf,brand|formula_name|display_name|species|format|life_stage|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|omega3_percent|omega6_percent|taurine_mgkg|vitamin_a_iukg|vitamin_d3_iukg|vitamin_e_mgkg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,,"Preview in Food V2, run Check Existing, then commit only reviewed rows.",market=EU; basis=as-fed; source_tier=official_pdf; source_group=monge_cat_pdf; label_energy_missing=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/monge cat pdf/Gemon-kitten-with-salmon-and-rice-ENG.pdf; human_qa_required_before_recommendation=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=29; default_moisture_percent=10; kcal_estimation_confidence=medium
gemon-sterilised-with-beef-cat-dry-eu-pdf,Gemon,Sterilised with Beef,cat,dry,importable_after_qa,C:/Users/NIOstb/Desktop/photo_foods_nutritail/monge cat pdf/Gemon-sterilised-cat-with-beef-ENG.pdf,brand|formula_name|display_name|species|format|life_stage|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|phosphorus_percent|sodium_percent|magnesium_percent|omega3_percent|omega6_percent|taurine_mgkg|vitamin_a_iukg|vitamin_d3_iukg|vitamin_e_mgkg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,,"Preview in Food V2, run Check Existing, then commit only reviewed rows.",market=EU; basis=as-fed; source_tier=official_pdf; source_group=monge_cat_pdf; label_energy_used=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/monge cat pdf/Gemon-sterilised-cat-with-beef-ENG.pdf; human_qa_required_before_recommendation=true
gemon-sterilised-with-tuna-and-salmon-cat-dry-eu-pdf,Gemon,Sterilised with Tuna and Salmon,cat,dry,importable_after_qa,C:/Users/NIOstb/Desktop/photo_foods_nutritail/monge cat pdf/Gemon-sterilised-cat-with-tuna-and-salmon-ENG.pdf,brand|formula_name|display_name|species|format|life_stage|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|phosphorus_percent|sodium_percent|magnesium_percent|omega3_percent|omega6_percent|taurine_mgkg|vitamin_a_iukg|vitamin_d3_iukg|vitamin_e_mgkg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,,"Preview in Food V2, run Check Existing, then commit only reviewed rows.",market=EU; basis=as-fed; source_tier=official_pdf; source_group=monge_cat_pdf; label_energy_missing=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/monge cat pdf/Gemon-sterilised-cat-with-tuna-and-salmon-ENG.pdf; human_qa_required_before_recommendation=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=34.5; default_moisture_percent=10; kcal_estimation_confidence=medium
gemon-sterilised-with-turkey-cat-dry-eu-pdf,Gemon,Sterilised with Turkey,cat,dry,importable_after_qa,C:/Users/NIOstb/Desktop/photo_foods_nutritail/monge cat pdf/Gemon-sterilised-cat-with-turkey-ENG.pdf,brand|formula_name|display_name|species|format|life_stage|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|phosphorus_percent|sodium_percent|magnesium_percent|omega3_percent|omega6_percent|taurine_mgkg|vitamin_a_iukg|vitamin_d3_iukg|vitamin_e_mgkg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,,"Preview in Food V2, run Check Existing, then commit only reviewed rows.",market=EU; basis=as-fed; source_tier=official_pdf; source_group=monge_cat_pdf; label_energy_missing=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/monge cat pdf/Gemon-sterilised-cat-with-turkey-ENG.pdf; human_qa_required_before_recommendation=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=37.5; default_moisture_percent=10; kcal_estimation_confidence=medium
gran-bonta-with-chicken-cat-dry-eu-pdf,Gran Bonta,With Chicken,cat,dry,importable_after_qa,C:/Users/NIOstb/Desktop/photo_foods_nutritail/monge cat pdf/Gran-bonta-cat-kibbles-with-chicken-ENG.pdf,brand|formula_name|display_name|species|format|life_stage|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|vitamin_a_iukg|vitamin_d3_iukg|vitamin_e_mgkg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,,"Preview in Food V2, run Check Existing, then commit only reviewed rows.",market=EU; basis=as-fed; source_tier=official_pdf; source_group=monge_cat_pdf; label_energy_missing=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/monge cat pdf/Gran-bonta-cat-kibbles-with-chicken-ENG.pdf; human_qa_required_before_recommendation=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=40; default_moisture_percent=10; kcal_estimation_confidence=medium
gran-bonta-with-fish-cat-dry-eu-pdf,Gran Bonta,With Fish,cat,dry,importable_after_qa,C:/Users/NIOstb/Desktop/photo_foods_nutritail/monge cat pdf/Gran-bonta-cat-kibbles-with-fish-ENG.pdf,brand|formula_name|display_name|species|format|life_stage|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|vitamin_a_iukg|vitamin_d3_iukg|vitamin_e_mgkg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,,"Preview in Food V2, run Check Existing, then commit only reviewed rows.",market=EU; basis=as-fed; source_tier=official_pdf; source_group=monge_cat_pdf; label_energy_missing=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/monge cat pdf/Gran-bonta-cat-kibbles-with-fish-ENG.pdf; human_qa_required_before_recommendation=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=40; default_moisture_percent=10; kcal_estimation_confidence=medium
gran-bonta-with-meat-cat-dry-eu-pdf,Gran Bonta,With Meat,cat,dry,importable_after_qa,C:/Users/NIOstb/Desktop/photo_foods_nutritail/monge cat pdf/Gran-bonta-cat-kibbles-with-meat-ENG.pdf,brand|formula_name|display_name|species|format|life_stage|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|vitamin_a_iukg|vitamin_d3_iukg|vitamin_e_mgkg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,,"Preview in Food V2, run Check Existing, then commit only reviewed rows.",market=EU; basis=as-fed; source_tier=official_pdf; source_group=monge_cat_pdf; label_energy_missing=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/monge cat pdf/Gran-bonta-cat-kibbles-with-meat-ENG.pdf; human_qa_required_before_recommendation=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=40; default_moisture_percent=10; kcal_estimation_confidence=medium
lechat-adult-with-chicken-and-turkey-cat-dry-eu-pdf,LeChat,Adult with Chicken and Turkey,cat,dry,importable_after_qa,C:/Users/NIOstb/Desktop/photo_foods_nutritail/monge cat pdf/LeChat-Adult-Kibbles-with-Chicken-and-Turkey-1.pdf,brand|formula_name|display_name|species|format|life_stage|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|omega3_percent|omega6_percent|taurine_mgkg|vitamin_a_iukg|vitamin_d3_iukg|vitamin_e_mgkg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,,"Preview in Food V2, run Check Existing, then commit only reviewed rows.",market=EU; basis=as-fed; source_tier=official_pdf; source_group=monge_cat_pdf; label_energy_missing=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/monge cat pdf/LeChat-Adult-Kibbles-with-Chicken-and-Turkey-1.pdf; human_qa_required_before_recommendation=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=36.5; default_moisture_percent=10; kcal_estimation_confidence=medium
lechat-adult-with-fresh-beef-and-vegetables-cat-dry-eu-pdf,LeChat,Adult with Fresh Beef and Vegetables,cat,dry,needs_backfill,C:/Users/NIOstb/Desktop/photo_foods_nutritail/monge cat pdf/LeChat-Adult-Kibbles-with-Fresh-Beef-and-Vegetables.pdf,brand|formula_name|display_name|species|format|life_stage|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|feeding_guide_text|protein_percent|fat_percent|ash_percent|calcium_percent|magnesium_percent|omega3_percent|omega6_percent|taurine_mgkg|vitamin_a_iukg|vitamin_d3_iukg|vitamin_e_mgkg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,fiber_percent|kcal_per_100g,"Preview in Food V2, run Check Existing, then commit only reviewed rows.",market=EU; basis=as-fed; source_tier=official_pdf; source_group=monge_cat_pdf; label_energy_missing=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/monge cat pdf/LeChat-Adult-Kibbles-with-Fresh-Beef-and-Vegetables.pdf; human_qa_required_before_recommendation=true; kcal_estimate_skipped=missing_protein_fat_or_fiber
