priority,formula_key,brand,formula_name,species,gap_group,missing_fields,evidence_path,recommended_panel,recommended_action,status,notes
high,royal-canin-bulldog-puppy-dog-dry-gr-photo,Royal Canin,Bulldog Puppy,dog,core_nutrition,kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal bulldog puppy,analytical constituents and calorie/energy panel,Transcribe calories and analytical constituents from the label or official product page.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-bulldog-puppy-dog-dry-gr-photo,Royal Canin,Bulldog Puppy,dog,identity_and_barcode,barcode_or_ean,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal bulldog puppy,front/back pack photo with barcode or EAN area,Capture or verify barcode/EAN and pack identity before production import.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-cavalier-king-charles-puppy-dog-dry-gr-photo,Royal Canin,Cavalier King Charles Puppy,dog,core_nutrition,kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal cavalier king charles puppy,analytical constituents and calorie/energy panel,Transcribe calories and analytical constituents from the label or official product page.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-cavalier-king-charles-puppy-dog-dry-gr-photo,Royal Canin,Cavalier King Charles Puppy,dog,identity_and_barcode,barcode_or_ean,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal cavalier king charles puppy,front/back pack photo with barcode or EAN area,Capture or verify barcode/EAN and pack identity before production import.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-chihuahua-adult-dog-dry-gr-photo,Royal Canin,Chihuahua Adult,dog,core_nutrition,kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal chihuahua adult,analytical constituents and calorie/energy panel,Transcribe calories and analytical constituents from the label or official product page.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-chihuahua-adult-dog-dry-gr-photo,Royal Canin,Chihuahua Adult,dog,identity_and_barcode,barcode_or_ean,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal chihuahua adult,front/back pack photo with barcode or EAN area,Capture or verify barcode/EAN and pack identity before production import.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-chihuahua-puppy-dog-dry-gr-photo,Royal Canin,Chihuahua Puppy,dog,core_nutrition,kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal chihuahua puppy,analytical constituents and calorie/energy panel,Transcribe calories and analytical constituents from the label or official product page.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-chihuahua-puppy-dog-dry-gr-photo,Royal Canin,Chihuahua Puppy,dog,identity_and_barcode,barcode_or_ean,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal chihuahua puppy,front/back pack photo with barcode or EAN area,Capture or verify barcode/EAN and pack identity before production import.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-french-bulldog-adult-dog-dry-gr-photo,Royal Canin,French Bulldog Adult,dog,core_nutrition,kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal french bulldog adult,analytical constituents and calorie/energy panel,Transcribe calories and analytical constituents from the label or official product page.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-french-bulldog-adult-dog-dry-gr-photo,Royal Canin,French Bulldog Adult,dog,identity_and_barcode,barcode_or_ean,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal french bulldog adult,front/back pack photo with barcode or EAN area,Capture or verify barcode/EAN and pack identity before production import.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-french-bulldog-puppy-dog-dry-gr-photo,Royal Canin,French Bulldog Puppy,dog,core_nutrition,kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal french bulldog puppy,analytical constituents and calorie/energy panel,Transcribe calories and analytical constituents from the label or official product page.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-french-bulldog-puppy-dog-dry-gr-photo,Royal Canin,French Bulldog Puppy,dog,identity_and_barcode,barcode_or_ean,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal french bulldog puppy,front/back pack photo with barcode or EAN area,Capture or verify barcode/EAN and pack identity before production import.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-giant-adult-dog-dry-gr-photo,Royal Canin,Giant Adult,dog,core_nutrition,kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal giant adult,analytical constituents and calorie/energy panel,Transcribe calories and analytical constituents from the label or official product page.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-giant-adult-dog-dry-gr-photo,Royal Canin,Giant Adult,dog,identity_and_barcode,barcode_or_ean,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal giant adult,front/back pack photo with barcode or EAN area,Capture or verify barcode/EAN and pack identity before production import.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-maxi-adult-dog-dry-gr-photo,Royal Canin,Maxi Adult,dog,core_nutrition,kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal maxi adult,analytical constituents and calorie/energy panel,Transcribe calories and analytical constituents from the label or official product page.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-maxi-adult-dog-dry-gr-photo,Royal Canin,Maxi Adult,dog,identity_and_barcode,barcode_or_ean,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal maxi adult,front/back pack photo with barcode or EAN area,Capture or verify barcode/EAN and pack identity before production import.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-maxi-adult-ageing-8-dog-dry-gr-photo,Royal Canin,Maxi Adult Ageing 8+,dog,core_nutrition,kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal maxi adult ageing 8+,analytical constituents and calorie/energy panel,Transcribe calories and analytical constituents from the label or official product page.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-maxi-adult-ageing-8-dog-dry-gr-photo,Royal Canin,Maxi Adult Ageing 8+,dog,identity_and_barcode,barcode_or_ean,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal maxi adult ageing 8+,front/back pack photo with barcode or EAN area,Capture or verify barcode/EAN and pack identity before production import.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-maxi-adult-light-weight-care-dog-dry-gr-photo,Royal Canin,Maxi Adult Light Weight Care,dog,core_nutrition,kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal maxi adult light weight care,analytical constituents and calorie/energy panel,Transcribe calories and analytical constituents from the label or official product page.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-maxi-adult-light-weight-care-dog-dry-gr-photo,Royal Canin,Maxi Adult Light Weight Care,dog,identity_and_barcode,barcode_or_ean,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal maxi adult light weight care,front/back pack photo with barcode or EAN area,Capture or verify barcode/EAN and pack identity before production import.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-maxi-adult-sterilised-dog-dry-gr-photo,Royal Canin,Maxi Adult Sterilised,dog,core_nutrition,kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal maxi adult sterilised,analytical constituents and calorie/energy panel,Transcribe calories and analytical constituents from the label or official product page.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-maxi-adult-sterilised-dog-dry-gr-photo,Royal Canin,Maxi Adult Sterilised,dog,identity_and_barcode,barcode_or_ean,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal maxi adult sterilised,front/back pack photo with barcode or EAN area,Capture or verify barcode/EAN and pack identity before production import.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-medium-adult-dog-dry-gr-photo,Royal Canin,Medium Adult,dog,core_nutrition,kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal medium adult,analytical constituents and calorie/energy panel,Transcribe calories and analytical constituents from the label or official product page.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-medium-adult-dog-dry-gr-photo,Royal Canin,Medium Adult,dog,identity_and_barcode,barcode_or_ean,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal medium adult,front/back pack photo with barcode or EAN area,Capture or verify barcode/EAN and pack identity before production import.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-medium-adult-ageing-7-dog-dry-gr-photo,Royal Canin,Medium Adult Ageing 7+,dog,core_nutrition,kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal medium adult ageing 7+,analytical constituents and calorie/energy panel,Transcribe calories and analytical constituents from the label or official product page.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-medium-adult-ageing-7-dog-dry-gr-photo,Royal Canin,Medium Adult Ageing 7+,dog,identity_and_barcode,barcode_or_ean,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal medium adult ageing 7+,front/back pack photo with barcode or EAN area,Capture or verify barcode/EAN and pack identity before production import.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-medium-adult-sterilised-dog-dry-gr-photo,Royal Canin,Medium Adult Sterilised,dog,core_nutrition,kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal medium adult sterilised,analytical constituents and calorie/energy panel,Transcribe calories and analytical constituents from the label or official product page.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-medium-adult-sterilised-dog-dry-gr-photo,Royal Canin,Medium Adult Sterilised,dog,identity_and_barcode,barcode_or_ean,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal medium adult sterilised,front/back pack photo with barcode or EAN area,Capture or verify barcode/EAN and pack identity before production import.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-mini-adult-dog-dry-gr-photo,Royal Canin,Mini Adult,dog,core_nutrition,kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult,analytical constituents and calorie/energy panel,Transcribe calories and analytical constituents from the label or official product page.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-mini-adult-dog-dry-gr-photo,Royal Canin,Mini Adult,dog,identity_and_barcode,barcode_or_ean,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult,front/back pack photo with barcode or EAN area,Capture or verify barcode/EAN and pack identity before production import.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-mini-adult-ageing-12-dog-dry-gr-photo,Royal Canin,Mini Adult Ageing 12+,dog,core_nutrition,kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult ageing 12+,analytical constituents and calorie/energy panel,Transcribe calories and analytical constituents from the label or official product page.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-mini-adult-ageing-12-dog-dry-gr-photo,Royal Canin,Mini Adult Ageing 12+,dog,identity_and_barcode,barcode_or_ean,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult ageing 12+,front/back pack photo with barcode or EAN area,Capture or verify barcode/EAN and pack identity before production import.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-mini-adult-ageing-8-dog-dry-gr-photo,Royal Canin,Mini Adult Ageing 8+,dog,core_nutrition,kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult ageing 8+,analytical constituents and calorie/energy panel,Transcribe calories and analytical constituents from the label or official product page.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-mini-adult-ageing-8-dog-dry-gr-photo,Royal Canin,Mini Adult Ageing 8+,dog,identity_and_barcode,barcode_or_ean,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult ageing 8+,front/back pack photo with barcode or EAN area,Capture or verify barcode/EAN and pack identity before production import.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-mini-adult-coat-care-dog-dry-gr-photo,Royal Canin,Mini Adult Coat Care,dog,core_nutrition,kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult coat care,analytical constituents and calorie/energy panel,Transcribe calories and analytical constituents from the label or official product page.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-mini-adult-coat-care-dog-dry-gr-photo,Royal Canin,Mini Adult Coat Care,dog,identity_and_barcode,barcode_or_ean,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult coat care,front/back pack photo with barcode or EAN area,Capture or verify barcode/EAN and pack identity before production import.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-mini-adult-digestive-care-dog-dry-gr-photo,Royal Canin,Mini Adult Digestive Care,dog,core_nutrition,kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult digestive care,analytical constituents and calorie/energy panel,Transcribe calories and analytical constituents from the label or official product page.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-mini-adult-digestive-care-dog-dry-gr-photo,Royal Canin,Mini Adult Digestive Care,dog,identity_and_barcode,barcode_or_ean,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult digestive care,front/back pack photo with barcode or EAN area,Capture or verify barcode/EAN and pack identity before production import.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-mini-adult-exigent-dog-dry-gr-photo,Royal Canin,Mini Adult Exigent,dog,core_nutrition,kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult exigent,analytical constituents and calorie/energy panel,Transcribe calories and analytical constituents from the label or official product page.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-mini-adult-exigent-dog-dry-gr-photo,Royal Canin,Mini Adult Exigent,dog,identity_and_barcode,barcode_or_ean,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult exigent,front/back pack photo with barcode or EAN area,Capture or verify barcode/EAN and pack identity before production import.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-mini-adult-light-weight-care-dog-dry-gr-photo,Royal Canin,Mini Adult Light Weight Care,dog,core_nutrition,kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult light weight care,analytical constituents and calorie/energy panel,Transcribe calories and analytical constituents from the label or official product page.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-mini-adult-light-weight-care-dog-dry-gr-photo,Royal Canin,Mini Adult Light Weight Care,dog,identity_and_barcode,barcode_or_ean,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult light weight care,front/back pack photo with barcode or EAN area,Capture or verify barcode/EAN and pack identity before production import.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-mini-adult-sterilised-dog-dry-gr-photo,Royal Canin,Mini Adult Sterilised,dog,core_nutrition,kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult sterilised,analytical constituents and calorie/energy panel,Transcribe calories and analytical constituents from the label or official product page.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-mini-adult-sterilised-dog-dry-gr-photo,Royal Canin,Mini Adult Sterilised,dog,identity_and_barcode,barcode_or_ean,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult sterilised,front/back pack photo with barcode or EAN area,Capture or verify barcode/EAN and pack identity before production import.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-miniature-schnauzer-adult-dog-dry-gr-photo,Royal Canin,Miniature Schnauzer Adult,dog,core_nutrition,kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal miniature schnauzer adult,analytical constituents and calorie/energy panel,Transcribe calories and analytical constituents from the label or official product page.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-miniature-schnauzer-adult-dog-dry-gr-photo,Royal Canin,Miniature Schnauzer Adult,dog,identity_and_barcode,barcode_or_ean,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal miniature schnauzer adult,front/back pack photo with barcode or EAN area,Capture or verify barcode/EAN and pack identity before production import.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-shih-tzu-adult-dog-dry-gr-photo,Royal Canin,Shih Tzu Adult,dog,core_nutrition,kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal shih tzu adult,analytical constituents and calorie/energy panel,Transcribe calories and analytical constituents from the label or official product page.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-shih-tzu-adult-dog-dry-gr-photo,Royal Canin,Shih Tzu Adult,dog,identity_and_barcode,barcode_or_ean,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal shih tzu adult,front/back pack photo with barcode or EAN area,Capture or verify barcode/EAN and pack identity before production import.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-west-highland-white-terrier-adult-dog-dry-gr-photo,Royal Canin,West Highland White Terrier Adult,dog,core_nutrition,kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal west highland white terrier adult,analytical constituents and calorie/energy panel,Transcribe calories and analytical constituents from the label or official product page.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-west-highland-white-terrier-adult-dog-dry-gr-photo,Royal Canin,West Highland White Terrier Adult,dog,identity_and_barcode,barcode_or_ean,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal west highland white terrier adult,front/back pack photo with barcode or EAN area,Capture or verify barcode/EAN and pack identity before production import.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-x-small-adult-dog-dry-gr-photo,Royal Canin,X-Small Adult,dog,core_nutrition,kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal xsmall adult,analytical constituents and calorie/energy panel,Transcribe calories and analytical constituents from the label or official product page.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-x-small-adult-dog-dry-gr-photo,Royal Canin,X-Small Adult,dog,identity_and_barcode,barcode_or_ean,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal xsmall adult,front/back pack photo with barcode or EAN area,Capture or verify barcode/EAN and pack identity before production import.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-x-small-adult-ageing-12-dog-dry-gr-photo,Royal Canin,X-Small Adult Ageing 12+,dog,core_nutrition,kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal xsmall adult ageing 12+,analytical constituents and calorie/energy panel,Transcribe calories and analytical constituents from the label or official product page.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-x-small-adult-ageing-12-dog-dry-gr-photo,Royal Canin,X-Small Adult Ageing 12+,dog,identity_and_barcode,barcode_or_ean,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal xsmall adult ageing 12+,front/back pack photo with barcode or EAN area,Capture or verify barcode/EAN and pack identity before production import.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-x-small-adult-ageing-8-dog-dry-gr-photo,Royal Canin,X-Small Adult Ageing 8+,dog,core_nutrition,kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal xsmall adult ageing 8+,analytical constituents and calorie/energy panel,Transcribe calories and analytical constituents from the label or official product page.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-x-small-adult-ageing-8-dog-dry-gr-photo,Royal Canin,X-Small Adult Ageing 8+,dog,identity_and_barcode,barcode_or_ean,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal xsmall adult ageing 8+,front/back pack photo with barcode or EAN area,Capture or verify barcode/EAN and pack identity before production import.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-yorkshire-terrier-puppy-dog-dry-gr-photo,Royal Canin,Yorkshire Terrier Puppy,dog,core_nutrition,kcal_per_100g_or_kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal yorkshire terrier puppy,analytical constituents and calorie/energy panel,Transcribe calories and analytical constituents from the label or official product page.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
high,royal-canin-yorkshire-terrier-puppy-dog-dry-gr-photo,Royal Canin,Yorkshire Terrier Puppy,dog,identity_and_barcode,barcode_or_ean,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal yorkshire terrier puppy,front/back pack photo with barcode or EAN area,Capture or verify barcode/EAN and pack identity before production import.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
