formula_key,brand,formula_name,species,status,missing_fields,source_document,recommended_action,notes
royal-canin-royal-satiety-support-dog-dog-dry,Royal Canin,ROYAL SATIETY SUPPORT DOG,dog,needs_review,data_source_url_or_official_evidence_path,Περιγραφές Vet Eshop.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import. Duplicate pack-size row detected and skipped: ROYAL SATIETY SUPPORT DOG
royal-canin-royal-renal-canine-dog-dry,Royal Canin,ROYAL RENAL CANINE,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence_path,Περιγραφές Vet Eshop.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import.
royal-canin-royal-hepatic-canine-dog-dry,Royal Canin,ROYAL HEPATIC CANINE,dog,needs_review,data_source_url_or_official_evidence_path,Περιγραφές Vet Eshop.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import.
royal-canin-royal-vd-dog-cardiac-dog-dry,Royal Canin,ROYAL VD DOG CARDIAC,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence_path,Περιγραφές Vet Eshop.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import. Duplicate pack-size row detected and skipped: ROYAL VD DOG CARDIAC
royal-canin-royal-vhn-hepatic-canine-dog-dry,Royal Canin,ROYAL VHN HEPATIC CANINE,dog,needs_review,data_source_url_or_official_evidence_path,Περιγραφές Vet Eshop.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import.
royal-canin-royal-vd-diabetic-dog-dog-dry,Royal Canin,ROYAL VD DIABETIC DOG,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence_path,Περιγραφές Vet Eshop.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import. Duplicate pack-size row detected and skipped: ROYAL VD DIABETIC DOG
royal-canin-royal-vhn-gastro-int-low-fat-dog-dog-dry,Royal Canin,ROYAL VHN GASTRO INT LOW FAT DOG,dog,needs_review,protein_percent|fat_percent|fiber_percent|kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence_path,Περιγραφές Vet Eshop.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import.
royal-canin-royal-vd-anallergenic-dog-dog-dry,Royal Canin,. ROYAL VD ANALLERGENIC DOG,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence_path,Περιγραφές Vet Eshop.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import.
royal-canin-royal-vhn-urinary-s-o-dog-dog-dry,Royal Canin,ROYAL VHN URINARY S/O DOG,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence_path,Περιγραφές Vet Eshop.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import. Duplicate pack-size row detected and skipped: ROYAL VHN URINARY S/O DOG
royal-canin-royal-gastro-int-low-fat-dog-dry,Royal Canin,ROYAL GASTRO INT LOW FAT,dog,needs_review,protein_percent|fat_percent|fiber_percent|kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence_path,Περιγραφές Vet Eshop.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import.
royal-canin-vhn-royal-sensitivity-control-dog-dry,Royal Canin,VHN ROYAL SENSITIVITY CONTROL,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence_path,Περιγραφές Vet Eshop.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import.
royal-canin-royal-satiety-support-dog-10-dog-dry,Royal Canin,"ROYAL SATIETY SUPPORT DOG ,10%",dog,needs_review,data_source_url_or_official_evidence_path,Περιγραφές Vet Eshop.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import.
royal-canin-royal-vhn-satiety-support-dog-dog-dry,Royal Canin,ROYAL VHN SATIETY SUPPORT DOG,dog,needs_review,data_source_url_or_official_evidence_path,Περιγραφές Vet Eshop.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import.
royal-canin-royal-gastro-intestinal-dog-dog-dry,Royal Canin,ROYAL GASTRO INTESTINAL DOG,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence_path,Περιγραφές Vet Eshop.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import.
royal-canin-royal-vdiet-mobility-c2p-dog-dry,Royal Canin,ROYAL VDIET MOBILITY C2P+,dog,needs_review,protein_percent|fat_percent|fiber_percent|kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence_path,Περιγραφές Vet Eshop.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import.
royal-canin-royal-hypoallergenic-dog-dry,Royal Canin,ROYAL HYPOALLERGENIC,dog,needs_review,protein_percent|fat_percent|fiber_percent|kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence_path,Περιγραφές Vet Eshop.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import.
royal-canin-royal-vhn-sensitivity-control-dog-multipack-dog-dry,Royal Canin,ROYAL VHN SENSITIVITY CONTROL DOG MULTIPACK,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence_path,Περιγραφές Vet Eshop.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import.
royal-canin-royal-vhn-urinary-s-o-dog-dry,Royal Canin,ROYAL VHN URINARY S/O,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence_path,Περιγραφές Vet Eshop.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import.
royal-canin-royal-gastrointestinal-puppy-dog-dog-dry,Royal Canin,ROYAL GASTROINTESTINAL PUPPY DOG,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence_path,Περιγραφές Vet Eshop.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import.
royal-canin-royal-vhn-c-mobility-support-dog-dry,Royal Canin,ROYAL VHN C MOBILITY SUPPORT,dog,needs_review,protein_percent|fat_percent|fiber_percent|kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence_path,Περιγραφές Vet Eshop.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import.
royal-canin-royal-early-renal-dog-dry,Royal Canin,ROYAL EARLY RENAL,dog,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence_path,Περιγραφές Vet Eshop.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import.
royal-canin-royal-vhn-urinary-s-o-cat-cat-dry,Royal Canin,ROYAL VHN URINARY S/O CAT,cat,needs_review,protein_percent|fat_percent|fiber_percent|kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence_path,Περιγραφές Vet Eshop.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import. Duplicate pack-size row detected and skipped: ROYAL VHN URINARY S/O CAT Duplicate pack-size row detected and skipped: ROYAL VHN URINARY S/O CAT
royal-canin-royal-vhn-gastro-intestinal-cat-cat-dry,Royal Canin,ROYAL VHN GASTRO INTESTINAL CAT,cat,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence_path,Περιγραφές Vet Eshop.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import.
royal-canin-royal-vhn-satiety-feline-cat-dry,Royal Canin,ROYAL VHN SATIETY FELINE,cat,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence_path,Περιγραφές Vet Eshop.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import.
royal-canin-royal-gastro-intestinal-cat-cat-dry,Royal Canin,ROYAL GASTRO INTESTINAL CAT,cat,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence_path,Περιγραφές Vet Eshop.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import.
royal-canin-royal-vhn-urinary-so-cat-cat-dry,Royal Canin,ROYAL VHN URINARY SO CAT,cat,needs_review,protein_percent|fat_percent|fiber_percent|kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence_path,Περιγραφές Vet Eshop.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import.
royal-canin-royal-sensitivity-control-cat-cat-dry,Royal Canin,ROYAL SENSITIVITY CONTROL CAT,cat,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence_path,Περιγραφές Vet Eshop.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import. Duplicate pack-size row detected and skipped: ROYAL SENSITIVITY CONTROL CAT
royal-canin-royal-diabetic-cat-cat-dry,Royal Canin,ROYAL DIABETIC CAT,cat,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence_path,Περιγραφές Vet Eshop.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import.
royal-canin-royal-vhn-f-renal-select-cat-dry,Royal Canin,ROYAL VHN F RENAL SELECT,cat,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence_path,Περιγραφές Vet Eshop.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import.
royal-canin-royal-vdiet-renal-select-feline-cat-dry,Royal Canin,ROYAL VDIET RENAL SELECT FELINE,cat,needs_review,kcal_per_100g_or_kcal_per_kg|data_source_url_or_official_evidence_path,Περιγραφές Vet Eshop.docx,"Add official URL or evidence path, verify extracted nutrients against the source document, then preview through Food V2 before commit.",Auto-extracted from uploaded document; verify before import.
